id,correctAnswer
200023,D
200025,A
200032,C
200036,D
200050,A
200051,B
200053,A
200062,A
200071,B
200084,C
200113,D
200120,A
200123,A
200130,D
200134,D
200156,C
200160,C
200170,D
200176,D
200191,D
200196,B
200204,C
200208,D
200213,A
200221,D
200230,D
200235,A
200243,C
200248,B
200253,C
200262,C
200264,C
200267,D
200270,D
200274,C
200281,C
200285,A
200310,B
200314,A
200317,B
200335,A
200339,C
200345,C
200347,A
200352,D
200363,C
200364,B
200389,C
200391,B
200404,D
200405,B
4389,D
202768,A
202772,D
202777,C
202779,D
202793,C
202802,D
202804,B
202818,B
202832,A
202845,D
202849,B
202858,D
202877,B
202881,B
105535,D
105541,B
105551,D
105556,B
105560,D
105576,B
105583,C
105591,C
105604,A
105618,D
105619,B
105623,B
105630,D
105649,D
105665,A
105673,B
105685,A
105701,C
105704,A
105706,B
7411,B
105726,A
7426,C
105739,B
105743,B
105750,A
7457,D
7458,C
105778,A
105783,B
105787,C
105803,B
105809,C
105812,A
105819,A
105821,D
7524,C
105845,C
105846,C
105849,D
105856,A
7559,C
7561,A
105872,D
105879,A
105883,A
105890,B
105892,B
105893,B
105894,D
105898,C
105917,C
105920,C
105923,C
105926,C
105934,D
105937,C
105950,B
105958,B
105965,A
105968,C
105972,A
105994,C
106001,D
106007,B
106010,C
106013,C
106022,C
106025,D
106033,A
106040,D
106043,B
106044,B
106060,C
106068,D
8001,C
8003,D
8004,D
8021,B
8022,C
8023,B
8024,C
8032,B
8033,C
8034,A
8036,B
8050,C
8053,A
8054,D
8068,D
8069,C
8070,D
8071,A
8072,A
8101,B
8102,B
8104,D
8105,D
8106,D
8107,C
8120,C
8121,C
8130,A
8132,B
8133,A
8134,A
8135,A
8150,A
8282,B
8283,B
8284,B
8287,C
8288,B
8290,A
8291,C
8292,C
8293,D
8294,D
8295,B
8296,B
8297,D
8299,C
8301,D
8302,C
8355,D
8356,A
8358,A
8359,A
8360,B
8361,A
8362,A
8363,D
8364,D
8365,C
8368,C
8371,D
8418,C
8419,A
8420,A
8421,D
8422,B
8423,B
8424,C
8425,C
8426,D
8427,C
8428,B
8429,A
8430,B
8435,D
8436,A
8437,D
8438,A
8439,B
8487,B
8488,C
8489,C
8490,C
8491,B
8492,D
8493,A
8494,C
8496,B
8497,A
8498,D
8499,D
8501,D
8502,A
8503,B
8504,A
8505,C
8507,D
8509,C
8510,C
8554,D
8555,A
8556,C
8557,A
8558,C
8559,B
8560,B
8562,C
8564,B
8565,C
8566,D
8567,B
8568,C
8569,B
8570,A
8571,D
8572,D
8573,D
8664,B
8665,B
8666,A
8667,B
8668,B
8670,C
8672,A
8673,B
8675,D
8677,D
8680,A
8682,B
8684,C
8704,A
8706,C
8707,D
8708,B
8709,B
8711,C
8712,A
8714,B
8715,B
8717,D
8718,C
8719,A
8721,B
8722,D
8723,C
8726,A
8763,C
8765,D
8766,C
8767,C
8768,C
8769,A
8770,A
8771,A
8772,A
8773,B
8774,C
8775,D
8776,A
8777,D
8778,A
8779,B
8780,A
205390,D
205426,C
205427,B
205430,C
205445,B
8845,C
8847,D
8848,A
8849,A
8850,C
8852,D
8853,B
8854,C
8855,C
8856,C
8857,C
205466,A
8859,A
8860,C
8861,C
8862,A
205554,B
8971,C
8972,B
8975,C
8976,B
8978,D
8979,B
8980,C
8981,C
8983,D
8984,D
8986,D
205626,A
9022,B
9027,D
9028,C
9030,C
9031,C
9033,D
9034,A
9037,B
9038,D
9041,D
9042,A
9043,C
205654,D
9084,D
9086,D
9087,B
9089,D
9091,B
9092,D
9093,D
9094,A
9095,A
9096,C
9097,B
9098,C
9099,C
9100,D
9101,D
9103,D
9104,B
205713,B
9107,C
205726,A
205741,C
9141,C
205750,A
9143,C
9145,D
9146,A
9147,B
9148,C
9149,A
9151,A
9152,C
9153,D
9154,A
9157,B
9158,D
205779,D
205794,C
9197,B
9198,D
9200,C
9202,C
9203,C
9204,B
9208,B
9209,A
9210,A
9211,A
9212,D
9213,D
205823,A
205847,D
205890,D
205900,D
9302,C
9304,A
9306,C
9307,C
9308,D
9309,A
9310,B
9311,D
9312,D
9313,D
9314,C
9315,C
9316,B
9317,B
9318,A
9319,B
9320,C
9321,A
9322,B
205931,B
9343,C
9344,A
9346,B
9347,B
9348,C
9349,C
9350,C
9352,D
9353,A
9354,D
9355,C
9357,A
9358,A
9360,A
9403,A
9404,A
9405,B
9409,D
9410,D
9411,A
9412,C
9413,D
9414,B
9415,D
9416,B
9417,B
9418,B
9419,C
9421,B
9422,D
9423,B
9424,B
9483,D
9484,C
9485,A
9486,A
9487,B
9488,D
9489,A
9490,A
9491,D
9492,C
9493,C
9494,B
9495,B
9496,A
9497,A
9498,D
9499,D
9500,D
9502,A
9503,D
9577,C
9592,D
9593,D
9602,C
9624,C
9625,C
9642,A
9643,B
9657,D
9660,A
9671,D
9672,C
9754,D
9755,B
9756,B
9757,A
9758,D
9760,A
9761,A
9795,D
9796,A
9832,D
9833,A
9834,A
9836,A
9863,C
9868,B
9889,B
9891,A
9898,C
9964,D
9965,A
9966,B
9967,B
9969,D
9971,A
9972,C
9977,A
9987,C
9988,A
9989,D
9992,A
9993,C
9994,A
10014,A
10015,C
10017,A
10018,C
10019,D
10020,A
10021,B
10022,A
10023,A
10070,B
10072,C
10075,A
10076,D
10078,B
10191,B
10192,A
10194,B
10195,B
10196,A
10197,C
10198,D
10199,A
10201,C
10242,A
10243,A
10249,A
10250,D
10252,D
10253,C
10254,A
10255,C
10257,B
10258,D
10260,A
10261,B
10262,D
10298,A
10299,A
10300,B
10301,A
10302,C
10303,B
10304,A
10305,C
10306,B
10307,C
10308,D
10309,C
10310,A
10344,C
10347,D
10349,C
10351,B
10352,A
10353,D
10356,D
10357,B
10358,C
10360,A
10361,D
10394,C
10396,C
10397,C
10398,D
10399,D
10400,A
10401,D
10403,B
10404,A
10405,A
10406,C
10407,A
10408,A
10409,A
10410,A
10411,B
10412,C
10413,A
10414,C
10415,D
10416,A
10417,B
10418,D
10520,B
10521,B
10522,A
10525,D
10527,C
10528,D
10529,A
10530,B
10532,D
10533,B
10534,B
10536,C
10538,D
10539,D
10541,A
10542,D
10560,C
10561,B
10562,D
10563,B
10565,B
10566,D
10567,D
10568,D
10569,C
10571,A
10573,D
10574,C
10575,A
10576,B
10617,A
10618,B
10619,B
10620,C
10621,D
10622,D
10623,A
10624,A
10625,B
10628,B
10629,C
10683,C
10684,B
10685,B
10686,A
10687,A
10688,C
10689,C
10690,A
10691,D
10692,C
10693,A
10695,C
10696,A
10697,A
10698,C
10699,D
10700,C
10789,C
10922,A
11001,B
11521,C
11601,C
11691,B
12996,A
13003,D
12791,D
12801,A
205562,D
12952,D
205436,D
205613,B
7885,D
8016,A
8020,D
8109,B
8119,A
205711,B
205716,C
205742,C
205766,D
205397,D
205400,A
205404,B
205410,B
205428,D
205443,B
205497,B
205500,A
205512,B
205539,D
205594,A
205595,C
205667,B
200215,A
205858,A
205702,A
205731,C
205866,C
205751,C
205786,A
9199,B
205831,A
205834,A
205849,A
205879,B
205899,A
205919,C
205949,B
205956,A
205510,D
9594,A
9656,A
191503,C
191529,C
191531,D
191540,A
191543,A
191546,B
191551,B
191554,B
191564,D
191569,B
191576,D
191581,A
191586,A
191590,B
191592,C
191597,B
191607,C
191617,D
191636,D
191638,A
191644,C
191652,D
191661,D
191672,B
191681,A
191686,A
191695,B
191697,D
191703,C
191707,C
191726,B
191734,C
191750,A
191780,A
191784,C
191797,C
191799,C
191806,C
191838,D
191841,C
191846,C
191857,A
191871,C
191875,A
191879,B
191884,A
191901,B
191908,C
191909,A
191913,B
191915,A
191932,D
191947,C
191955,B
191963,A
191968,A
191972,A
191975,B
191979,A
191984,D
191988,C
